black win | k7/8/1p2Pb2/1r2nP1P/3PP2K/N1p4B/4NB1q/8 w - - 2 70
draw by 50 move rule | 8/8/3K4/8/8/4k3/8/5n2 b - - 100 217
white win | 3N1k1R/8/4rP2/2PP3p/7P/p1K3p1/4N1B1/8 b - - 6 69
black win | 8/3N4/2n5/1p5k/1p6/1P3qK1/3r1r2/8 w - - 6 84
draw by 50 move rule | 7k/8/8/8/8/2r5/3K4/8 w - - 100 194
draw by insufficient material | 5k2/8/8/4K3/8/8/8/8 b - - 0 163
draw by insufficient material | 8/5B2/8/8/8/4K3/8/1k5n w - - 0 116
draw by insufficient material | 8/8/8/3k4/8/8/7K/8 w - - 0 153
draw by insufficient material | 3k4/8/8/8/8/K7/8/8 b - - 0 190
draw by insufficient material | 8/8/3K4/8/8/5k2/8/8 w - - 0 165
draw by stalemate | 8/1R6/4k3/7Q/3BPQ2/3P4/N7/1K6 b - - 20 121
draw by stalemate | 8/8/k3K3/2Q5/4B3/8/8/8 b - - 52 202
draw by 50 move rule | 8/8/1k6/8/p4K2/P7/8/8 w - - 100 261
draw by insufficient material | 2K5/8/8/2k5/8/8/8/8 w - - 0 232
draw by stalemate | 2n2r2/8/6b1/8/7K/8/5kq1/8 w - - 6 134
black win | 8/8/r7/8/KPk5/4P3/n7/4N3 w - - 0 98
draw by 50 move rule | 8/8/p7/P7/4k3/8/8/1K6 b - - 100 247
draw by 50 move rule | 8/6K1/8/8/4k3/8/8/6N1 w - - 100 186
draw by insufficient material | 8/8/8/8/8/3k4/8/K7 w - - 0 167
draw by insufficient material | 5K2/k7/8/8/8/8/8/8 b - - 0 196
draw by insufficient material | 8/8/1k6/8/8/2K5/8/8 w - - 0 169
draw by 50 move rule | 6k1/3r4/8/8/7K/8/8/8 b - - 100 231
draw by 50 move rule | 8/8/3k4/8/3K2p1/6P1/8/7b b - - 100 214
draw by insufficient material | 8/8/8/8/8/2K2k2/8/8 b - - 0 218
draw by insufficient material | 8/7k/8/K7/8/8/8/8 b - - 0 163
