white win | 7k/1R6/6Np/7P/8/1B2b3/8/4Kn2 b - - 2 132
50 move count reached | 4n3/3k4/8/7K/8/6b1/8/4n3 w - - 100 198
50 move count reached | 8/8/8/3K4/k7/8/8/7b b - - 100 188
white win | 8/8/8/P7/8/1Q3K2/8/2R2k1r b - - 6 135
50 move count reached | 8/8/8/8/8/6k1/1K6/7r b - - 100 254
50 move count reached | 8/8/2k2nK1/8/8/8/8/8 w - - 100 210
50 move count reached | 8/2K5/8/8/2k5/8/8/8 b - - 100 288
stalemate | 8/8/8/8/8/6K1/8/7k b - - 69 247
50 move count reached | 8/8/8/8/8/8/5K2/2k5 w - - 100 238
50 move count reached | 8/2k5/6K1/8/8/8/8/7b b - - 100 189
50 move count reached | 1K6/8/8/8/8/8/1k5B/7r b - - 100 239
50 move count reached | 8/5N2/2k5/8/8/8/5K2/8 w - - 100 226
50 move count reached | 8/1K6/8/8/8/8/3k4/7b b - - 100 205
50 move count reached | 8/2k1K3/8/8/6b1/8/8/1n6 b - - 100 268
50 move count reached | 8/4B3/8/8/k7/8/6K1/8 w - - 100 216
50 move count reached | 8/8/8/k7/6K1/1B6/8/8 w - - 100 197
white win | 2k2R2/2p5/2P1K3/p2PP1P1/1pR5/P6P/8/1B2b2n b - - 1 70
50 move count reached | 8/8/8/8/2K5/8/4n3/7k b - - 100 243
50 move count reached | 3K4/8/8/8/1n6/8/8/7k b - - 100 200
stalemate | 6K1/3N4/8/8/1p6/1P6/8/7k b - - 66 169
50 move count reached | 4k3/8/8/8/5K2/8/8/7r w - - 100 178
50 move count reached | 8/k7/8/8/6K1/8/3n4/8 w - - 100 247
white win | rn1qkbnr/p2pp3/b1p3Qp/1p2NP2/8/P2B4/1PPP1PPP/RNB1K2R b KQkq - 1 8
black win | r7/8/4kq2/7K/5np1/1p6/3n2r1/8 w - - 4 105
white win | 2k5/8/1Q2B3/8/8/8/5K2/4N3 b - - 3 119
white win | 5B1b/7p/5p2/2Q1kr1P/p2p2p1/1BPK2P1/8/1RN4b b - - 2 54
50 move count reached | 8/8/K2k4/8/8/8/8/7n b - - 100 284
stalemate | K7/8/8/8/2B5/8/8/7k b - - 71 220
white win | 7k/8/8/8/7R/6RP/2K5/8 b - - 0 114
stalemate | 8/8/5K1k/5Q2/8/8/8/4B2b b - - 16 149
