draw by insufficient material | 8/2K5/8/1k6/8/8/8/8 w - - 0 195
draw by insufficient material | 1K6/8/8/1k6/8/8/8/8 b - - 0 239
black win | 2R5/8/8/6P1/p3k3/2n1p3/8/4K2q w - - 24 133
draw by insufficient material | 8/3b4/8/8/5k2/8/8/K6N w - - 0 142
white win | 4b1R1/2nB4/6pp/prPpk2P/Pb2PQ2/2q1B3/7R/2R1N1K1 b - - 0 56
draw by insufficient material | 6k1/8/8/4K3/8/8/8/8 b - - 0 158
white win | 2R1k1r1/R3pN2/4P1P1/2bP1p2/8/P6p/8/5K1B b - - 8 82
draw by insufficient material | 8/8/8/3k4/K7/8/5N2/8 w - - 0 150
white win | 1kR5/7R/p1nrB3/4P2p/1P1N3P/7r/P7/5K2 b - - 9 67
draw by insufficient material | 8/8/8/7K/8/3k4/8/8 b - - 0 229
white win | 1nb5/2R5/5n1b/2B5/2kPpN1P/2r5/3N1K2/bR6 b - - 4 64
draw by 50 move rule | 8/8/1k6/4K3/2r5/8/8/8 w - - 100 247
draw by insufficient material | 8/8/8/6k1/4K3/8/8/8 w - - 0 212
draw by stalemate | k7/1R6/3N3B/8/8/8/8/5K2 b - - 16 167
white win | 2rk4/3B1N2/2PB2P1/PP5p/8/7q/K7/2bR4 b - - 12 67
draw by insufficient material | 8/8/6b1/8/8/2k4K/8/8 b - - 0 178
draw by insufficient material | 8/8/5K2/8/8/8/2k5/8 b - - 0 196
draw by insufficient material | 8/8/8/5N2/8/8/5K2/2k5 b - - 0 216
draw by 50 move rule | 8/8/3b3K/1B6/8/p7/P7/7k w - - 100 186
white win | 1B3B2/1b4Qk/p2p4/P1p4r/1p3P2/7R/1P6/1R1NK3 b - - 1 51
draw by insufficient material | 8/3k4/8/6K1/8/8/5n2/8 b - - 0 155
draw by insufficient material | 8/8/3k4/b7/3K4/8/8/8 b - - 0 198
draw by insufficient material | 8/8/K7/8/8/6k1/8/8 w - - 0 234
draw by stalemate | 8/6N1/3Q2P1/k7/P4p2/2K2B1N/8/R7 b - - 0 95
draw by 50 move rule | 8/5K2/8/8/2R5/8/1R6/7k w - - 100 225
black win | 8/5k1p/7P/1NQ5/4p3/p1n2n2/2n5/K2b4 w - - 9 124
black win | 2rN2nr/p3pp2/nk6/1P4p1/P2P1P1P/2N1p2b/1p5P/1RB1Kq2 w - - 0 34
draw by 50 move rule | 3k4/8/2R5/8/8/2K5/8/8 w - - 100 206
