draw by insufficient material | 3n1k2/8/8/8/8/8/3K4/8 w - - 0 191
white win | 1n3k1Q/1p1b1pp1/r1p2P2/p3p3/1q1p2P1/3P1P1P/1P2B3/RNB2KNR b - - 0 27
draw by 50 move rule | 3k4/8/1K6/7p/7P/8/8/8 b - - 100 205
draw by insufficient material | 8/8/1K6/8/3k4/8/1b6/8 b - - 0 194
draw by insufficient material | 4k3/7B/8/8/6K1/8/8/8 w - - 0 262
draw by insufficient material | 7k/8/8/2K5/8/8/8/3b4 b - - 0 192
draw by insufficient material | 7n/8/8/8/2K5/8/1k6/8 b - - 0 222
draw by 50 move rule | 6k1/8/p7/1n6/4b3/8/8/3K4 w - - 100 185
draw by insufficient material | 8/8/8/3K1B2/1k6/8/8/8 b - - 0 121
draw by insufficient material | 4k3/8/8/8/8/5N2/8/7K b - - 0 167
draw by insufficient material | 8/8/K7/8/8/8/2k5/8 w - - 0 203
draw by insufficient material | 8/5n2/8/8/8/8/K7/5k2 b - - 0 167
draw by insufficient material | 8/8/8/4b3/8/7K/8/5k2 w - - 0 148
draw by threefold repitition | 8/6k1/8/7p/7P/8/6K1/8 b - - 79 203
draw by insufficient material | 6k1/8/6B1/8/8/7K/8/n7 w - - 0 154
white win | Q2k4/2pprr2/5B2/5P1p/7P/1N2P1P1/7n/3K4 b - - 2 50
draw by 50 move rule | 1N6/N7/8/4K2p/2k4p/7P/8/8 b - - 100 189
draw by insufficient material | 8/1b6/5k2/8/6K1/8/8/8 w - - 0 179
draw by insufficient material | k7/8/8/8/6K1/8/8/8 b - - 0 152
draw by insufficient material | 8/6N1/8/8/8/1K3k2/8/8 w - - 0 181
white win | 7k/5N2/6Qp/3N3P/6R1/1p1pp1p1/1K6/2r4R b - - 1 67
draw by insufficient material | 3k4/8/8/8/8/8/8/7K w - - 0 158
black win | r6k/1p2Q3/4b1P1/7p/2r2p2/NN1P2R1/P4q2/3K1r2 w - - 0 53
draw by 50 move rule | 2K1k3/8/8/8/8/8/8/1b5r w - - 100 242
black win | 3k4/5B2/1pP1p1n1/5p2/b4bP1/P1N5/7R/1nn2q1K w - - 4 65
draw by 50 move rule | 8/8/8/3k4/8/R5B1/3K4/1b6 w - - 100 171
draw by 50 move rule | 8/8/8/6K1/8/8/8/1k1r4 w - - 100 207
draw by insufficient material | 8/5K2/8/8/7k/8/8/8 w - - 0 214
draw by insufficient material | 6K1/3k4/8/8/8/1n6/1B6/8 b - - 0 151
draw by insufficient material | 8/8/4k3/8/5K2/8/8/2n5 b - - 0 206
black win | 8/4P2p/7p/6PP/8/2pk4/8/q1K1bN2 w - - 0 93
draw by insufficient material | 8/6k1/8/4N3/3K4/8/8/4n3 b - - 0 153
draw by 50 move rule | 8/8/2K5/8/6b1/4k3/8/6n1 w - - 100 201
draw by insufficient material | 8/8/8/2k5/8/1K6/8/8 b - - 0 195
draw by insufficient material | 8/2K5/8/k7/8/8/8/8 w - - 0 215
draw by insufficient material | 8/8/3K4/8/k7/8/8/8 b - - 0 176
white win | k3R3/3R4/1p6/1P5P/PK6/8/6nN/8 b - - 0 111
draw by insufficient material | 8/8/8/3k4/6K1/8/N7/4b3 w - - 0 207
draw by insufficient material | 8/8/7k/8/8/K7/7N/8 w - - 0 198
black win | 1k6/8/Pp6/6pP/1PR2q2/5r1K/8/4n3 w - - 4 85
draw by insufficient material | 8/8/8/8/2n5/3k4/6K1/8 b - - 0 195
draw by insufficient material | 8/8/3B3k/K7/8/8/8/8 w - - 0 153
draw by insufficient material | 7k/8/8/8/8/2K5/8/8 b - - 0 153
draw by insufficient material | 8/8/8/3K4/8/8/2k5/8 w - - 0 264
black win | 1q4nr/1R1bP1kB/1p5p/8/4pp1b/6pP/7r/1q1K2N1 w - - 0 51
black win | 6N1/p1k5/b4r2/2N4p/8/2b1K3/4q3/8 w - - 8 97
black win | 8/P1R4n/8/2p3p1/2R5/3b1q1K/1b1k4/6b1 w - - 0 78
black win | 6n1/7k/8/p1p2p2/5P2/4PB2/1qr2N2/1K6 w - - 5 60
white win | R7/3b4/k1P4B/2K2p2/p4P2/6p1/P5R1/8 b - - 5 73
draw by insufficient material | 8/8/8/8/7k/8/1K6/8 b - - 0 143
draw by insufficient material | b4K2/8/8/4B3/8/8/3k4/8 w - - 0 135
white win | 1r3qn1/1Qpp1p1r/1p1n4/p1k1P2p/P3PP1p/P1P1B2N/4B1PR/RN1K4 b - - 2 27
draw by insufficient material | 8/8/4k3/8/8/6b1/8/5K2 b - - 0 128
draw by 50 move rule | 8/8/r2n4/8/8/1Kp5/8/6k1 w - - 100 190
draw by insufficient material | 8/8/k7/8/8/8/3K4/8 w - - 0 179
white win | 3QQ3/5R2/4k3/8/8/8/4K3/8 b - - 0 193
draw by 50 move rule | 8/8/K7/8/2k5/8/3B4/2B5 b - - 100 244
draw by insufficient material | 8/8/8/8/8/8/3k2b1/N4K2 w - - 0 111
draw by insufficient material | 6k1/8/8/3K4/8/8/8/7n w - - 0 119
draw by insufficient material | 6K1/8/4k3/4B3/8/n7/8/8 b - - 0 214
draw by stalemate | 8/8/8/k4n2/8/2p5/7K/5q2 w - - 30 146
draw by stalemate | 7K/1q6/8/8/8/2p5/6r1/k7 w - - 87 160
draw by 50 move rule | 5n2/8/8/4B3/1k6/3b4/8/K7 b - - 100 153
draw by insufficient material | 8/8/5K2/8/1k6/1n6/8/8 b - - 0 237
white win | 5k1R/R7/3Nn3/r7/PN6/8/5B2/5K2 b - - 2 90
draw by stalemate | K7/2qk4/8/5r2/8/8/8/8 w - - 38 216
draw by insufficient material | 8/8/8/K6k/8/8/6n1/8 w - - 0 208
black win | 2r1k2r/p7/2p2Pq1/7p/NB1pp3/1P1bbK2/4B2P/3R2R1 w - - 0 38
draw by 50 move rule | 8/8/1r6/2K5/8/8/8/3k4 b - - 100 181
draw by 50 move rule | 3R4/1K6/8/8/8/8/6k1/8 w - - 100 247
draw by stalemate | 7K/5q2/7p/7P/8/5r2/8/n1k5 w - - 13 134
white win | 7R/4p3/2q1rb1n/3Pk3/P5b1/2P2QB1/RP6/2K5 b - - 20 60
draw by insufficient material | 8/8/8/8/1k6/8/8/K7 b - - 0 216
draw by stalemate | 8/3q4/1K6/8/1k6/r7/2b5/8 w - - 57 143
draw by insufficient material | 4k3/8/5b2/8/8/2N5/8/5K2 b - - 0 158
black win | 6nn/P7/8/8/2k5/Kq6/3p4/8 w - - 3 154
draw by insufficient material | 8/6k1/8/3K4/8/8/2N5/4n3 w - - 0 152
draw by 50 move rule | 8/8/2kN1N2/8/7R/8/8/K7 b - - 100 162
draw by insufficient material | 8/8/5b2/5B2/k7/8/8/7K w - - 0 125
draw by insufficient material | 8/8/8/3K3k/8/8/8/1b6 w - - 0 120
draw by 50 move rule | 4K3/1k6/8/3q4/8/8/2n5/8 w - - 100 198
draw by insufficient material | 8/8/8/4k3/7K/8/8/8 w - - 0 214
draw by insufficient material | 8/7k/8/8/2n5/2K5/8/8 b - - 0 162
draw by 50 move rule | 8/2Q5/8/8/8/8/1K4k1/8 b - - 100 278
draw by insufficient material | 7B/8/8/8/1k6/7K/8/8 b - - 0 168
draw by insufficient material | 8/5K2/3k4/8/8/8/8/8 w - - 0 218
draw by insufficient material | 8/8/5B1k/8/b4K2/8/8/8 b - - 0 191
draw by insufficient material | 5k2/8/8/8/5K2/8/8/8 w - - 0 279
draw by insufficient material | 5b2/8/8/8/k4K2/8/8/8 b - - 0 221
draw by 50 move rule | 8/2k5/8/2R5/1K6/8/8/8 b - - 100 239
draw by stalemate | 8/5Q2/6K1/8/7k/8/6Q1/8 b - - 24 190
draw by insufficient material | 8/8/8/7k/5n2/8/8/6K1 w - - 0 154
draw by insufficient material | 2N5/5k2/8/8/7K/8/6n1/8 w - - 0 143
